{'x': 261, 'y': 415, 'w': 156, 'h': 127, 'ID': 'person', 'dist': 196.34, 'time': '2023-08-08 18:17:09.674866'}
{'x': 259, 'y': 417, 'w': 65, 'h': 106, 'ID': 'person', 'dist': 541.32, 'time': '2023-08-08 18:17:09.675502'}
{'x': 269, 'y': 410, 'w': 181, 'h': 149, 'ID': 'person', 'dist': 148.54, 'time': '2023-08-08 18:17:10.693312'}
{'x': 279, 'y': 392, 'w': 263, 'h': 201, 'ID': 'person', 'dist': 133.91, 'time': '2023-08-08 18:17:11.699354'}
{'x': 272, 'y': 348, 'w': 435, 'h': 237, 'ID': 'person', 'dist': 810.97, 'time': '2023-08-08 18:17:13.906303'}
{'x': 274, 'y': 350, 'w': 429, 'h': 230, 'ID': 'person', 'dist': 771.22, 'time': '2023-08-08 18:17:14.930753'}
{'x': 458, 'y': 301, 'w': 354, 'h': 343, 'ID': 'person', 'dist': 372.71, 'time': '2023-08-08 18:17:31.255826'}
{'x': 529, 'y': 309, 'w': 230, 'h': 324, 'ID': 'person', 'dist': 113.6, 'time': '2023-08-08 18:17:32.276545'}
{'x': 368, 'y': 335, 'w': 227, 'h': 297, 'ID': 'person', 'dist': 113.51, 'time': '2023-08-08 18:17:33.269764'}
{'x': 380, 'y': 328, 'w': 210, 'h': 330, 'ID': 'person', 'dist': 118.47, 'time': '2023-08-08 18:17:34.297105'}
{'x': 381, 'y': 326, 'w': 212, 'h': 334, 'ID': 'person', 'dist': 117.4, 'time': '2023-08-08 18:17:35.312605'}
{'x': 376, 'y': 328, 'w': 216, 'h': 327, 'ID': 'person', 'dist': 115.65, 'time': '2023-08-08 18:17:36.313919'}
{'x': 378, 'y': 328, 'w': 212, 'h': 328, 'ID': 'person', 'dist': 117.4, 'time': '2023-08-08 18:17:37.307175'}
{'x': 366, 'y': 335, 'w': 200, 'h': 289, 'ID': 'person', 'dist': 125.76, 'time': '2023-08-08 18:17:38.300101'}
{'x': 359, 'y': 335, 'w': 204, 'h': 295, 'ID': 'person', 'dist': 122.45, 'time': '2023-08-08 18:17:39.298548'}
{'x': 364, 'y': 335, 'w': 198, 'h': 292, 'ID': 'person', 'dist': 127.61, 'time': '2023-08-08 18:17:40.315033'}
{'x': 353, 'y': 335, 'w': 214, 'h': 307, 'ID': 'person', 'dist': 116.46, 'time': '2023-08-08 18:17:41.339088'}
{'x': 351, 'y': 325, 'w': 215, 'h': 327, 'ID': 'person', 'dist': 116.04, 'time': '2023-08-08 18:17:42.365322'}
{'x': 566, 'y': 351, 'w': 149, 'h': 256, 'ID': 'unknown', 'dist': 999, 'time': '2023-08-08 18:17:48.400391'}
{'x': 565, 'y': 349, 'w': 141, 'h': 257, 'ID': 'unknown', 'dist': 999, 'time': '2023-08-08 18:17:49.394873'}
{'x': 567, 'y': 349, 'w': 144, 'h': 249, 'ID': 'unknown', 'dist': 999, 'time': '2023-08-08 18:17:50.397130'}
{'x': 565, 'y': 351, 'w': 148, 'h': 242, 'ID': 'unknown', 'dist': 999, 'time': '2023-08-08 18:17:51.409483'}
{'x': 412, 'y': 306, 'w': 190, 'h': 346, 'ID': 'person', 'dist': 136.29, 'time': '2023-08-08 18:17:52.447894'}
{'x': 369, 'y': 318, 'w': 245, 'h': 342, 'ID': 'person', 'dist': 118.46, 'time': '2023-08-08 18:17:53.459689'}
{'x': 325, 'y': 308, 'w': 288, 'h': 305, 'ID': 'person', 'dist': 172.79, 'time': '2023-08-08 18:18:08.864952'}
{'x': 324, 'y': 317, 'w': 302, 'h': 298, 'ID': 'person', 'dist': 203.4, 'time': '2023-08-08 18:18:09.897362'}
{'x': 354, 'y': 335, 'w': 215, 'h': 284, 'ID': 'person', 'dist': 116.04, 'time': '2023-08-08 18:18:10.887868'}
{'x': 332, 'y': 334, 'w': 216, 'h': 292, 'ID': 'person', 'dist': 115.65, 'time': '2023-08-08 18:18:11.892963'}
{'x': 333, 'y': 334, 'w': 207, 'h': 292, 'ID': 'person', 'dist': 120.32, 'time': '2023-08-08 18:18:12.906567'}
{'x': 331, 'y': 334, 'w': 207, 'h': 290, 'ID': 'person', 'dist': 120.32, 'time': '2023-08-08 18:18:13.965599'}
{'x': 332, 'y': 334, 'w': 204, 'h': 290, 'ID': 'person', 'dist': 122.45, 'time': '2023-08-08 18:18:14.978484'}
{'x': 332, 'y': 334, 'w': 205, 'h': 293, 'ID': 'person', 'dist': 121.71, 'time': '2023-08-08 18:18:16.031010'}
{'x': 331, 'y': 334, 'w': 215, 'h': 287, 'ID': 'person', 'dist': 116.04, 'time': '2023-08-08 18:18:17.029235'}
{'x': 308, 'y': 361, 'w': 172, 'h': 254, 'ID': 'person', 'dist': 163.41, 'time': '2023-08-08 18:18:19.090452'}
{'x': 318, 'y': 361, 'w': 168, 'h': 256, 'ID': 'person', 'dist': 170.87, 'time': '2023-08-08 18:18:20.094270'}
{'x': 318, 'y': 362, 'w': 160, 'h': 251, 'ID': 'person', 'dist': 187.33, 'time': '2023-08-08 18:18:21.117338'}
